"","X","SubjectID","TrialNumber","StartingPositionIndex","TimeOut","TimeOutStr","TimeStampBegin","TimeStampEnd","TrialDuration","TheNorth","DeviationFromNorth","Angle","ForcedRotation_x","ForcedRotation_y","ForcedRotation_z","ForcedRotation_x.1","ForcedRotation_y.1","ForcedRotation_z.1","ParticipantPosition_x","ParticipantPosition_y","ParticipantPosition_z","ForcedRotation_x.2","ParticipantRotation_x","ParticipantRotation_y","ParticipantRotation_z","ForcedRotation_y.2","PointerPosition_x","PointerPosition_y","PointerPosition_z","ForcedRotation_z.2","PointerRotation_x","PointerRotation_y","PointerRotation_z","ParticipantPosition_x.1","PointerDirection_x","PointerDirection_y","PointerDirection_z","ParticipantPosition_y.1","ParticipantPosition_z.1","TriggerPressedFreq","ParticipantRotation_x.1","ParticipantRotation_y.1","ParticipantRotation_z.1","CancelPressedFreq","PointerPosition_x.1","PointerPosition_y.1","PointerPosition_z.1","PointerRotation_x.1","PointerRotation_y.1","PointerRotation_z.1","ParticipantPosition_x.2","PointerDirection_x.1","PointerDirection_y.1","PointerDirection_z.1","ParticipantPosition_y.2","ParticipantPosition_z.2","ParticipantRotation_x.2","ParticipantRotation_y.2","ParticipantRotation_z.2","PointerPosition_x.2","PointerPosition_y.2","PointerPosition_z.2","PointerRotation_x.2","PointerRotation_y.2","PointerRotation_z.2","PointerDirection_x.2","PointerDirection_y.2","PointerDirection_z.2","PointedDirections","TriggerPressedTimeStamps","CancelPressedTimeStamps","Condition","Task","RecalculatedAngle","SignedAngle","UnityAngle","rounded_exp_Angle","rounded_exp_recalcAngle"
"509",509,1035,5,18,"False","False","2021-07-08 10:38:58.055203328","2021-07-08 10:39:05.640045824",7.58484244346619,-230,225,6.46583986282349,0,355,0,0,355,0,110.627014160156,0.099421262741088,196.96955871582,0,358.590698242188,157.506225585938,1.36593949794769,355,110.803680419922,-0.441004395484924,196.682769775391,0,357.185546875,136.4658203125,355.806732177734,110.627014160156,0.687956392765045,0.049101937562227,-0.7240891456604,0.099421262741088,196.96955871582,2,358.590698242188,157.506225585938,1.36593949794769,0,110.803680419922,-0.441004395484924,196.682769775391,357.185546875,136.4658203125,355.806732177734,110.627014160156,0.687956392765045,0.049101937562227,-0.7240891456604,0.099421262741088,196.96955871582,358.590698242188,157.506225585938,1.36593949794769,110.803680419922,-0.441004395484924,196.682769775391,357.185546875,136.4658203125,355.806732177734,0.687956392765045,0.049101937562227,-0.7240891456604,"[{'x': 0.687956392765045, 'y': 0.049101937562227006, 'z': -0.7240891456604001}]","[1625740745.3960147, 1625740745.640046]","[]","Belt","PTN",6.46581855954842,6.46581855954843,6.46583986282349,6.466,6.466
"510",510,1035,6,14,"False","False","2021-07-08 10:39:06.783823104","2021-07-08 10:39:12.884134656",6.10031175613403,-230,255,14.1749897003174,0,25,0,0,25,0,263.167419433594,0.971806287765502,40.8205718994141,0,357.018890380859,163.159515380859,2.60104632377625,25,263.3408203125,0.421962261199951,40.5186233520508,0,359.066497802734,144.174987792969,354.858428955078,263.167419433594,0.585234105587005,0.016291882842779,-0.810701072216033,0.971806287765502,40.8205718994141,2,357.018890380859,163.159515380859,2.60104632377625,0,263.3408203125,0.421962261199951,40.5186233520508,359.066497802734,144.174987792969,354.858428955078,263.167419433594,0.585234105587005,0.016291882842779,-0.810701072216033,0.971806287765502,40.8205718994141,357.018890380859,163.159515380859,2.60104632377625,263.3408203125,0.421962261199951,40.5186233520508,359.066497802734,144.174987792969,354.858428955078,0.585234105587005,0.016291882842779,-0.810701072216033,"[{'x': 0.5852341055870051, 'y': 0.016291882842779, 'z': -0.810701072216033}]","[1625740752.6068704, 1625740752.8841348]","[]","Belt","PTN",14.1749931324575,14.1749931324575,14.1749897003174,14.175,14.175
"511",511,1035,7,51,"False","False","2021-07-08 10:39:14.037832704","2021-07-08 10:39:25.242487552",11.2046549320221,-230,75,6.06914949417114,0,205,0,0,205,0,-243.013687133789,4.77058935165405,39.4917221069336,0,357.957183837891,4.99159288406372,357.739379882812,205,-242.878402709961,4.19937562942505,39.1861953735352,0,358.474487304688,136.069198608398,348.380981445312,-243.013687133789,0.693543374538421,0.026622284203767,-0.719923138618469,4.77058935165405,39.4917221069336,2,357.957183837891,4.99159288406372,357.739379882812,0,-242.878402709961,4.19937562942505,39.1861953735352,358.474487304688,136.069198608398,348.380981445312,-243.013687133789,0.693543374538421,0.026622284203767,-0.719923138618469,4.77058935165405,39.4917221069336,357.957183837891,4.99159288406372,357.739379882812,-242.878402709961,4.19937562942505,39.1861953735352,358.474487304688,136.069198608398,348.380981445312,0.693543374538421,0.026622284203767,-0.719923138618469,"[{'x': 0.6935433745384211, 'y': 0.026622284203767003, 'z': -0.719923138618469}]","[1625740764.9429035, 1625740765.2424877]","[]","Belt","PTN",6.06919667546085,6.06919667546083,6.06914949417114,6.069,6.069
"512",512,1035,8,28,"False","False","2021-07-08 10:39:26.386266624","2021-07-08 10:39:50.042024960",23.6557581424713,-230,30,40.498722076416,0,160,0,0,160,0,30.0541381835938,1.18614959716797,177.977066040039,0,356.520721435547,90.9572906494141,1.08955442905426,160,29.9686126708984,0.614354848861694,177.619125366211,0,358.236114501953,170.498733520508,339.131011962891,30.0541381835938,0.16499125957489,0.03078063763678,-0.985814869403839,1.18614959716797,177.977066040039,2,356.520721435547,90.9572906494141,1.08955442905426,0,29.9686126708984,0.614354848861694,177.619125366211,358.236114501953,170.498733520508,339.131011962891,30.0541381835938,0.16499125957489,0.03078063763678,-0.985814869403839,1.18614959716797,177.977066040039,356.520721435547,90.9572906494141,1.08955442905426,29.9686126708984,0.614354848861694,177.619125366211,358.236114501953,170.498733520508,339.131011962891,0.16499125957489,0.03078063763678,-0.985814869403839,"[{'x': 0.16499125957489003, 'y': 0.030780637636780003, 'z': -0.9858148694038391}]","[1625740789.7533522, 1625740790.0420249]","[]","Belt","PTN",40.4987320351233,40.4987320351233,40.498722076416,40.499,40.499
"513",513,1035,9,9,"False","False","2021-07-08 10:39:51.185802240","2021-07-08 10:39:59.680805376",8.49500322341919,-230,315,8.97758769989014,0,85,0,0,85,0,262.455749511719,-0.92771291732788,187.474533081055,0,357.016845703125,143.376556396484,358.055816650391,85,262.605834960938,-1.48980033397675,187.176162719727,0,0.847985923290252,138.977615356445,349.249359130859,262.455749511719,0.656282067298889,-0.014799606055021,-0.754370868206024,-0.92771291732788,187.474533081055,2,357.016845703125,143.376556396484,358.055816650391,0,262.605834960938,-1.48980033397675,187.176162719727,0.847985923290252,138.977615356445,349.249359130859,262.455749511719,0.656282067298889,-0.014799606055021,-0.754370868206024,-0.92771291732788,187.474533081055,357.016845703125,143.376556396484,358.055816650391,262.605834960938,-1.48980033397675,187.176162719727,0.847985923290252,138.977615356445,349.249359130859,0.656282067298889,-0.014799606055021,-0.754370868206024,"[{'x': 0.656282067298889, 'y': -0.014799606055021002, 'z': -0.7543708682060241}]","[1625740799.307317, 1625740799.6808054]","[]","Belt","PTN",8.97762101923038,8.97762101923042,8.97758769989014,8.978,8.978
"514",514,1035,10,34,"False","False","2021-07-08 10:40:00.826567168","2021-07-08 10:40:12.432982784",11.6064155101776,-230,255,20.2952766418457,0,25,0,0,25,0,-61.5640716552734,2.37068557739258,27.7053909301758,0,358.824249267578,51.9155387878418,0.813552260398864,25,-61.4726104736328,1.80576157569885,27.346794128418,0,0.997685313224792,150.295288085938,344.874786376953,-61.5640716552734,0.495455026626586,-0.017412014305591,-0.868459105491638,2.37068557739258,27.7053909301758,2,358.824249267578,51.9155387878418,0.813552260398864,0,-61.4726104736328,1.80576157569885,27.346794128418,0.997685313224792,150.295288085938,344.874786376953,-61.5640716552734,0.495455026626586,-0.017412014305591,-0.868459105491638,2.37068557739258,27.7053909301758,358.824249267578,51.9155387878418,0.813552260398864,-61.4726104736328,1.80576157569885,27.346794128418,0.997685313224792,150.295288085938,344.874786376953,0.495455026626586,-0.017412014305591,-0.868459105491638,"[{'x': 0.495455026626586, 'y': -0.017412014305591, 'z': -0.8684591054916381}]","[1625740812.055526, 1625740812.4329827]","[]","Belt","PTN",20.2952862424603,20.2952862424603,20.2952766418457,20.295,20.295
"515",515,1035,11,0,"False","False","2021-07-08 10:40:13.586679808","2021-07-08 10:40:20.332289280",6.74560928344727,-230,150,19.1863117218018,0,280,0,0,280,0,266.959259033203,0.054192066192626,-37.8979187011719,0,2.90126156806946,38.6687431335449,0.123157478868961,280,267.018310546875,-0.500958919525146,-38.2301025390625,0,359.496154785156,149.186325073242,355.890808105469,266.959259033203,0.51222825050354,0.008793663233518,-0.858804941177368,0.054192066192626,-37.8979187011719,2,2.90126156806946,38.6687431335449,0.123157478868961,0,267.018310546875,-0.500958919525146,-38.2301025390625,359.496154785156,149.186325073242,355.890808105469,266.959259033203,0.51222825050354,0.008793663233518,-0.858804941177368,0.054192066192626,-37.8979187011719,2.90126156806946,38.6687431335449,0.123157478868961,267.018310546875,-0.500958919525146,-38.2301025390625,359.496154785156,149.186325073242,355.890808105469,0.51222825050354,0.008793663233518,-0.858804941177368,"[{'x': 0.51222825050354, 'y': 0.008793663233518, 'z': -0.858804941177368}]","[1625740820.0208008, 1625740820.3322892]","[]","Belt","PTN",19.1863296901767,19.1863296901767,19.1863117218018,19.186,19.186
"516",516,1035,12,48,"False","False","2021-07-08 10:40:21.484002304","2021-07-08 10:40:31.235871744",9.75186944007874,-230,210,92.6594619750977,0,340,0,0,340,0,-257.514465332031,3.08326959609985,213.30078125,0,359.328033447266,204.683853149414,1.6772735118866,340,-257.802978515625,2.53996324539184,213.132965087891,0,358.387359619141,222.659469604492,346.347015380859,-257.514465332031,-0.677371442317962,0.028142198920249,-0.735103130340576,3.08326959609985,213.30078125,2,359.328033447266,204.683853149414,1.6772735118866,0,-257.802978515625,2.53996324539184,213.132965087891,358.387359619141,222.659469604492,346.347015380859,-257.514465332031,-0.677371442317962,0.028142198920249,-0.735103130340576,3.08326959609985,213.30078125,359.328033447266,204.683853149414,1.6772735118866,-257.802978515625,2.53996324539184,213.132965087891,358.387359619141,222.659469604492,346.347015380859,-0.677371442317962,0.028142198920249,-0.735103130340576,"[{'x': -0.6773714423179621, 'y': 0.028142198920249002, 'z': -0.7351031303405761}]","[1625740830.6034708, 1625740831.2358718]","[]","Belt","PTN",92.6594679970625,92.6594679970625,92.6594619750977,92.659,92.659
"517",517,1035,13,46,"False","False","2021-07-08 10:40:32.380145152","2021-07-08 10:40:38.842041856",6.4618968963623,-230,345,6.36676549911499,0,115.000007629395,0,0,115.000007629395,0,-205.166427612305,4.08569765090942,-13.1963195800781,0,0.035233482718467,359.485382080078,357.48583984375,115.000007629395,-205.011978149414,3.52932739257812,-13.4958801269531,0,0.039803571999073,136.366806030273,356.545715332031,-205.166427612305,0.690038859844207,-0.000694703310728,-0.72377198934555,4.08569765090942,-13.1963195800781,2,0.035233482718467,359.485382080078,357.48583984375,0,-205.011978149414,3.52932739257812,-13.4958801269531,0.039803571999073,136.366806030273,356.545715332031,-205.166427612305,0.690038859844207,-0.000694703310728,-0.72377198934555,4.08569765090942,-13.1963195800781,0.035233482718467,359.485382080078,357.48583984375,-205.011978149414,3.52932739257812,-13.4958801269531,0.039803571999073,136.366806030273,356.545715332031,0.690038859844207,-0.000694703310728,-0.72377198934555,"[{'x': 0.6900388598442071, 'y': -0.000694703310728, 'z': -0.7237719893455501}]","[1625740838.5528736, 1625740838.842042]","[]","Belt","PTN",6.36680186804876,6.36680186804879,6.36676549911499,6.367,6.367
"518",518,1035,14,21,"False","False","2021-07-08 10:40:39.986811136","2021-07-08 10:40:51.772778752",11.7859675884247,-230,75,15.5780467987061,0,205,0,0,205,0,155.52294921875,-0.115126371383666,-42.1293029785156,0,359.380950927734,222.225524902344,358.515747070312,205,155.686233520508,-0.684673428535461,-42.4717712402344,0,1.16999471187592,145.578048706055,355.230712890625,155.52294921875,0.565165221691131,-0.020418839529156,-0.824725270271301,-0.115126371383666,-42.1293029785156,2,359.380950927734,222.225524902344,358.515747070312,0,155.686233520508,-0.684673428535461,-42.4717712402344,1.16999471187592,145.578048706055,355.230712890625,155.52294921875,0.565165221691131,-0.020418839529156,-0.824725270271301,-0.115126371383666,-42.1293029785156,359.380950927734,222.225524902344,358.515747070312,155.686233520508,-0.684673428535461,-42.4717712402344,1.16999471187592,145.578048706055,355.230712890625,0.565165221691131,-0.020418839529156,-0.824725270271301,"[{'x': 0.565165221691131, 'y': -0.020418839529156, 'z': -0.824725270271301}]","[1625740851.4841063, 1625740851.7727787]","[]","Belt","PTN",15.5780575297371,15.5780575297371,15.5780467987061,15.578,15.578
"519",519,1035,15,4,"False","False","2021-07-08 10:40:52.924989696","2021-07-08 10:41:01.566808064",8.6418182849884,-230,60,35.7516670227051,0,190,0,0,190,0,2.45352172851562,2.09213876724243,41.7477340698242,0,358.98095703125,126.240501403809,1.03773546218872,190,2.4453125,1.5319492816925,41.4053115844727,0,358.68994140625,165.751678466797,354.95458984375,2.45352172851562,0.246060669422149,0.022862849757075,-0.968985140323638,2.09213876724243,41.7477340698242,2,358.98095703125,126.240501403809,1.03773546218872,0,2.4453125,1.5319492816925,41.4053115844727,358.68994140625,165.751678466797,354.95458984375,2.45352172851562,0.246060669422149,0.022862849757075,-0.968985140323638,2.09213876724243,41.7477340698242,358.98095703125,126.240501403809,1.03773546218872,2.4453125,1.5319492816925,41.4053115844727,358.68994140625,165.751678466797,354.95458984375,0.246060669422149,0.022862849757075,-0.968985140323638,"[{'x': 0.24606066942214902, 'y': 0.022862849757075, 'z': -0.968985140323638}]","[1625740861.2677195, 1625740861.566808]","[]","Belt","PTN",35.751677870395,35.751677870395,35.7516670227051,35.752,35.752
"520",520,1035,16,54,"False","False","2021-07-08 10:41:02.719514112","2021-07-08 10:41:11.005700352",8.28618621826172,-230,135,0.906550228595733,0,265,0,0,265,0,-326.546142578125,4.40025043487549,3.994384765625,0,323.943389892578,231.07048034668,1.6726131439209,265,-326.509948730469,3.8027720451355,3.63630676269531,0,358.493682861328,129.093414306641,358.534576416016,-326.546142578125,0.775850713253021,0.026287131011486,-0.630368947982788,4.40025043487549,3.994384765625,2,323.943389892578,231.07048034668,1.6726131439209,0,-326.509948730469,3.8027720451355,3.63630676269531,358.493682861328,129.093414306641,358.534576416016,-326.546142578125,0.775850713253021,0.026287131011486,-0.630368947982788,4.40025043487549,3.994384765625,323.943389892578,231.07048034668,1.6726131439209,-326.509948730469,3.8027720451355,3.63630676269531,358.493682861328,129.093414306641,358.534576416016,0.775850713253021,0.026287131011486,-0.630368947982788,"[{'x': 0.775850713253021, 'y': 0.026287131011486, 'z': -0.6303689479827881}]","[1625740870.716532, 1625740871.0057003]","[]","Belt","PTN",0.906575117853611,-0.906575117854297,0.906550228595733,0.907,0.907
