"","X","SubjectID","TrialNumber","StartingPositionIndex","TimeOut","TimeOutStr","TimeStampBegin","TimeStampEnd","TrialDuration","TriggerPressedFreq","CancelPressedFreq","ParticipantPosition_x","ParticipantRotation_x","ParticipantRotation_y","ParticipantRotation_z","ParticipantPosition_y","ParticipantPosition_z","TargetHousePos_x","TargetHouseRot_x","TargetHouseDir_x","GhostHouseInitPos_x","GhostHouseInitRot_x","TGhostHouseInitDir_x","GhostHouseFinalPos_x","GhostHouseFinalRot_x","TGhostHouseFinalDir_x","PointerPosition_x","PointerRotation_x","PointerDirection_x","PointerDirection_y","PointerDirection_z","PointerRotation_y","PointerRotation_z","PointerPosition_y","PointerPosition_z","GhostHouseFinalDir_y","GhostHouseFinalDir_z","GhostHouseFinalRot_y","GhostHouseFinalRot_z","GhostHouseFinalPos_y","GhostHouseFinalPos_z","GhostHouseInitDir_y","GhostHouseInitDir_z","GhostHouseInitRot_y","GhostHouseInitRot_z","GhostHouseInitPos_y","GhostHouseInitPos_z","TargetHouseDir_y","TargetHouseDir_z","TargetHouseRot_y","TargetHouseRot_z","TargetHousePos_y","TargetHousePos_z","TargetHouseIndex","TargetHouseName","GhostHouseName","TargetHouseID","GhostHouseRotDifferenceToTargetHouse","ParticipantDistanceToTargetHouse","ParticipantDistanceToGhostHouse","GhostHouseDistanceToTargetHouse","PointedDirections","Condition","Task","RecalculatedAngle","SignedAngle"
"326",329,1043,22,1,"False","False","2021-07-26 10:02:36.825152636","2021-07-26 10:03:10.954509020",34.1293563842773,2,0,155.667907714844,352.648864746094,74.2404327392578,2.70140600204468,-0.108320474624633,-42.2918090820312,71.6525268554688,0.000017861588275,-0.675315201282501,221.01335144043,0,0.872760415077209,91.6578216552734,0,0.853373706340789,155.773223876953,342.343597412109,0.051435410976409,0.303307920694351,-0.95150339603424,176.905776977539,13.9401016235352,-0.647740125656127,-42.6441345214844,0,0.521299719810485,58.5805244445801,0,-4.91177845001221,-178.936645507812,0,0.488148927688598,60.781005859375,0,-0.898235917091369,-37.8170013427734,-0.000000311743519887386,-0.737529277801513,222.478637695312,0.000010606126124,-2.82239532470703,-48.3218231201172,3,"TaskBuilding_28","TaskBuilding_28",27,163.89811706543,84.098518371582,150.949676513672,132.154495239258,"[{'x': 0.051435410976409, 'y': 0.30330792069435103, 'z': -0.9515033960342401}]","Belt","GHP",88.9889902962715,-88.9889902962715
"327",330,1043,23,1,"False","False","2021-07-26 10:03:11.220797300","2021-07-26 10:03:41.687463045",30.4666657447815,2,0,155.5927734375,353.713562011719,181.455825805664,3.57544708251953,-0.112185359001159,-42.3987579345703,132.779266357422,0.000019216329746,0.651104807853698,91.6578216552734,0,0.853373706340789,156.322708129883,0,0.592831492424011,155.386383056641,344.378173828125,-0.373453676700592,0.269286900758743,0.88770318031311,337.183685302734,3.14615607261658,-0.643869519233703,-41.9725189208984,0,-0.805326581001281,143.641799926758,0,-0.167923212051391,-5.51577758789062,0,0.521299719810485,58.5805244445801,0,-4.91177845001221,-178.936645507812,-0.000000335388222083566,-0.75898790359497,139.375045776367,-0.000007113092124,-1.08327293395996,29.1151313781738,0,"TaskBuilding_3","TaskBuilding_3",2,-4.26675415039062,74.8554000854492,36.7236938476562,41.8859329223633,"[{'x': -0.37345367670059204, 'y': 0.269286900758743, 'z': 0.88770318031311}]","Belt","GHP",5.12322090349407,-5.12322090349402
"328",331,1043,24,1,"False","False","2021-07-26 10:03:41.948314667","2021-07-26 10:04:07.427667618",25.4793529510498,2,0,155.586853027344,348.517059326172,350.341918945312,359.447631835938,-0.103913307189941,-42.2563781738281,172.500091552734,0.000006085543191,-0.633002042770385,156.322708129883,0,0.592831492424011,197.568298339844,0,-0.733716428279876,155.907409667969,341.332092285156,0.678258538246154,0.320082366466522,0.661447405815124,45.7189292907715,16.2018642425537,-0.634179830551147,-42.0495758056641,0,0.679455816745758,312.801147460938,0,-0.532823681831359,-30.7156829833984,0,-0.805326581001281,143.641799926758,0,-0.167923212051391,-5.51577758789062,-0.000000106212752370993,0.774150133132934,320.72802734375,0.000006893619683,-1.50027942657471,-12.2371349334717,1,"TaskBuilding_17","TaskBuilding_17",16,7.9268798828125,34.4401664733887,43.6032028198242,31.157787322998,"[{'x': 0.678258538246154, 'y': 0.32008236646652205, 'z': 0.6614474058151241}]","Belt","GHP",16.3214457692725,16.3214457692725
"329",332,1043,25,3,"False","False","2021-07-26 10:04:08.592773438","2021-07-26 10:04:19.209274054",10.6165006160736,2,0,-114.206466674805,351.593109130859,71.3520431518555,2.39405846595764,0.080059766769409,-139.644592285156,-69.5521850585938,0.000024381604816,0.730508506298065,197.568298339844,0,-0.733716428279876,-85.6560516357422,0,-0.72530311346054,-114.047622680664,333.785797119141,0.515272855758667,0.441728144884109,0.734418213367462,35.0537643432617,19.249626159668,-0.431131362915039,-139.300079345703,0,0.688429594039917,313.505920410156,0,-1.16667366027832,-126.274108886719,0,0.679455816745758,312.801147460938,0,-0.532823681831359,-30.7156829833984,-0.00000042553926959954,-0.68290364742279,133.07096862793,-0.000012444954336,-1.52285003662109,-66.1002349853516,0,"TaskBuilding_39","TaskBuilding_39",38,-180.434951782227,86.0090560913086,31.5864944458008,62.2925071716309,"[{'x': 0.515272855758667, 'y': 0.44172814488410905, 'z': 0.734418213367462}]","Belt","GHP",3.78869338275605,3.78869338275594
"330",333,1043,26,3,"False","False","2021-07-26 10:04:19.475561619","2021-07-26 10:04:59.915143251",40.4395816326141,2,0,-114.200180053711,353.847564697266,57.2434387207031,3.09162783622742,0.073250532150268,-139.614471435547,-133.890060424805,0.000004487968453,-0.727007031440734,-85.6560516357422,0,-0.72530311346054,-180.014907836914,0,-0.048298489302396,-114.626266479492,345.813690185547,-0.781568527221679,0.245075494050979,-0.573662459850311,233.721755981445,17.8705101013184,-0.391855359077453,-139.867431640625,0,-0.998833060264587,182.768371582031,0,0.354718506336212,-147.399139404297,0,0.688429594039917,313.505920410156,0,-1.16667366027832,-126.274108886719,-0.0000000783298261808341,0.686629951000213,313.363922119141,0.000001784343567,0.414817810058593,-53.5344390869141,2,"TaskBuilding_43","TaskBuilding_43",42,130.595550537109,88.2244491577148,66.1889038085938,104.585311889648,"[{'x': -0.781568527221679, 'y': 0.24507549405097903, 'z': -0.5736624598503111}]","Belt","GHP",113.394109725624,-113.394109725624
"331",334,1043,27,3,"False","False","2021-07-26 10:05:00.182428598","2021-07-26 10:05:28.399841547",28.2174129486084,2,0,-114.329849243164,353.465881347656,246.162811279297,5.26185846328735,0.072468996047973,-139.650024414062,-273.259429931641,0.000024247665351,-0.999782979488372,-180.014907836914,0,-0.048298489302396,-109.058456420898,0,0.591156423091888,-114.323989868164,339.345642089844,-0.398784786462783,0.352729499340057,0.846494317054748,334.774810791016,17.2911128997803,-0.426475405693054,-139.235321044922,0,0.806556940078735,36.2391128540039,0,0.529093086719512,-67.6302185058594,0,-0.998833060264587,182.768371582031,0,0.354718506336212,-147.399139404297,-0.000000423201583998889,-0.020830631256103,268.806396484375,0.000009407296602,-0.828033447265625,-177.61767578125,3,"TaskBuilding_53","TaskBuilding_53",52,232.567291259766,163.438323974609,72.1301345825195,197.638671875,"[{'x': -0.39878478646278304, 'y': 0.35272949934005704, 'z': 0.8464943170547481}]","Belt","GHP",78.2107148247034,78.2107148247035
"332",335,1043,28,3,"False","False","2021-07-26 10:05:28.666129589","2021-07-26 10:06:05.549101114",36.8829715251923,2,0,-114.229995727539,352.157165527344,3.64333176612854,1.1984578371048,0.072798609733581,-139.585540771484,-134.47297668457,90,0.0000000298023223876953,-109.058456420898,90,0,-1.56663513183594,90,0,-113.961410522461,345.618530273438,0.602875709533691,0.248376682400703,0.758188545703887,38.490062713623,18.7365646362305,-0.46534514427185,-139.320037841797,-0.99999988079071,0.0000000894069671630859,86.1808624267578,0,-2.12569212913513,-94.9590148925781,-1.00000023841858,-0.00000025331974029541,36.2391128540039,0,0.529093086719512,-67.6302185058594,-1,0.000000432133674621582,129.875503540039,0,0.974637746810913,-4.41340208053589,1,"TaskBuilding_42","TaskBuilding_42",41,43.6946411132812,136.643295288086,121.248489379883,160.848419189453,"[{'x': 0.6028757095336911, 'y': 0.248376682400703, 'z': 0.758188545703887}]","Belt","GHP",47.0072132977037,47.0072132977037
"333",336,1100,1,1,"False","False","2021-12-14 13:56:11.238484621","2021-12-14 13:56:52.899036646",41.6605520248413,2,0,155.599365234375,2.17133665084839,128.534408569336,358.703094482422,-0.07722783088684,-42.4116821289062,172.500091552734,0.000006085543191,-0.633002042770385,42.4859771728516,0,-0.970112264156341,190.631729125977,0,-0.772971749305725,155.864654541016,338.688690185547,0.794553816318512,0.36343491077423,0.486414730548858,58.5256156921387,42.1150360107422,-0.535445094108581,-42.0672302246094,0,0.63444048166275,309.378509521484,0,-1.08382248878479,-44.2763824462891,0,0.242656588554382,284.043395996094,0,-366.848327636719,346.845642089844,-0.000000106212752370993,0.774150133132934,320.72802734375,0.000006893619683,-1.50027942657471,-12.2371349334717,1,"TaskBuilding_17","TaskBuilding_17",16,11.3495178222656,34.4401664733887,35.1779327392578,36.8163414001465,"[{'x': 0.756860017776489, 'y': 0.128950372338294, 'z': -0.64072972536087}, {'x': 0.7945538163185121, 'y': 0.36343491077423, 'z': 0.48641473054885803}]","Belt","GHP",29.2724812433717,29.2724812433717
"334",337,1100,2,1,"False","False","2021-12-14 13:56:53.165388823","2021-12-14 13:58:14.450907946",81.2855191230774,2,1,155.596206665039,355.861572265625,78.7136840820312,359.933135986328,-0.067385673522949,-42.3104705810547,151.605972290039,0.000002352722276,-0.64675760269165,190.631729125977,0,-0.772971749305725,160.711883544922,0,0.117353975772857,155.795639038086,348.457977294922,0.57039338350296,0.20008672773838,-0.796628236770629,144.39697265625,34.5569000244141,-0.577485680580139,-42.6527862548828,0,0.993090152740478,6.739417552948,0,-4.76915454864502,-183.198760986328,0,0.63444048166275,309.378509521484,0,-1.08382248878479,-44.2763824462891,-0.0000000410627478686365,0.762695550918579,319.702423095703,0.000006412190032,-5.04666137695312,-144.83283996582,2,"TaskBuilding_21","TaskBuilding_21",20,312.963012695312,102.762969970703,141.128372192383,39.4327087402344,"[{'x': 0.5703933835029601, 'y': 0.20008672773838002, 'z': -0.7966282367706291}]","Belt","GHP",37.8318856533649,-37.8318856533649
"335",338,1100,3,1,"False","False","2021-12-14 13:58:14.717756748","2021-12-14 13:59:05.070715427",50.3529586791992,2,0,155.534484863281,359.983276367188,176.594192504883,359.41796875,-0.076515436172485,-42.4553527832031,71.6525268554688,0.000017861588275,-0.675315201282501,160.711883544922,0,0.117353975772857,86.7620239257812,0,-0.891458809375762,155.438461303711,346.296112060547,-0.234843000769615,0.236903995275497,-0.94272232055664,193.988311767578,33.8605918884277,-0.553635478019714,-42.7491912841797,0,-0.453102231025695,243.05712890625,0,-3.36054468154907,-105.300567626953,0,0.993090152740478,6.739417552948,0,-4.76915454864502,-183.198760986328,-0.000000311743519887386,-0.737529277801513,222.478637695312,0.000010606126124,-2.82239532470703,-48.3218231201172,3,"TaskBuilding_28","TaskBuilding_28",27,-20.5784912109375,84.098518371582,93.3391799926758,58.9505195617676,"[{'x': -0.234843000769615, 'y': 0.23690399527549702, 'z': -0.9427223205566401}]","Belt","GHP",72.0110845915131,-72.011084591513
"336",339,1100,4,1,"False","False","2021-12-14 13:59:05.337563038","2021-12-14 13:59:35.599532366",30.2619693279266,2,0,155.451080322266,359.827789306641,214.9599609375,1.63143277168274,-0.07829213142395,-42.4565734863281,132.779266357422,0.000019216329746,0.651104807853698,86.7620239257812,0,-0.891458809375762,131.768188476562,0,0.757230043411254,155.179550170898,350.827423095703,-0.758629322052002,0.15940873324871,0.631720185279846,309.784576416016,33.9926948547363,-0.573198080062866,-42.0509948730469,0,-0.653148412704467,130.779388427734,0,0.21966552734375,36.4994583129883,0,-0.453102231025695,243.05712890625,0,-3.36054468154907,-105.300567626953,-0.000000335388222083566,-0.75898790359497,139.375045776367,-0.000007113092124,-1.08327293395996,29.1151313781738,0,"TaskBuilding_3","TaskBuilding_3",2,8.59565734863281,74.8554000854492,82.2272491455078,7.56625461578369,"[{'x': -0.7586293220520021, 'y': 0.15940873324871002, 'z': 0.6317201852798461}]","Belt","GHP",32.6387528353044,-32.6387528353043
"337",340,1100,5,2,"False","False","2021-12-14 13:59:36.755708933","2021-12-14 14:00:15.008243322",38.2525343894958,2,0,-33.3964996337891,357.794036865234,345.102935791016,0.961447417736053,-2.71232223510742,-190.550750732422,-3.30635356903076,0.000002784431217,-0.744504272937774,131.768188476562,0,0.757230043411254,-3.29740905761719,0,-0.683342158794403,-32.9855499267578,340.694610595703,0.796887397766113,0.330603122711181,-0.505640268325805,122.395896911621,31.4211864471436,-3.1729679107666,-190.798767089844,0,0.730098247528076,316.894622802734,0,-4.72030639648438,-254.063812255859,0,-0.653148412704467,130.779388427734,0,0.21966552734375,36.4994583129883,-0.0000000485975064634658,0.667617797851562,311.883483886719,0.000006236859462,-6.04534912109375,-256.052215576172,1,"TaskBuilding_32","TaskBuilding_32",31,-5.01113891601562,72.1300354003906,70.3113708496094,2.38946986198425,"[{'x': 0.7968873977661131, 'y': 0.33060312271118103, 'z': -0.505640268325805}]","Belt","GHP",32.9309291401475,-32.9309291401475
"338",341,1100,6,2,"False","False","2021-12-14 14:00:15.270131111","2021-12-14 14:01:30.392351151",75.1222200393677,2,0,-33.2902679443359,359.086486816406,144.550720214844,0.484099864959716,-2.7093505859375,-190.7255859375,-153.392501831055,0.000002242340542,0.506837248802185,-3.29740905761719,0,-0.683342158794403,-67.9598236083984,0,0.490586847066879,-33.7783660888672,352.863830566406,-0.933228075504303,0.124227941036224,0.33712413907051,289.861999511719,38.1993598937988,-3.19845223426819,-190.486145019531,0,0.871392309665679,29.3791618347168,0,-1.8949511051178,-143.308441162109,0,0.730098247528076,316.894622802734,0,-4.72030639648438,-254.063812255859,-0.0000000391362249274607,0.862041771411895,30.4533882141113,-0.000008238012924,-2.51432800292969,-202.649963378906,3,"TaskBuilding_45","TaskBuilding_45",44,1.07422637939453,120.669105529785,58.5721054077148,104.021835327148,"[{'x': -0.9332280755043031, 'y': 0.124227941036224, 'z': 0.33712413907051003}]","Belt","GHP",25.5320514758141,25.5320514758141
"339",342,1100,7,2,"False","False","2021-12-14 14:01:30.659199476","2021-12-14 14:02:01.545137644",30.885938167572,2,0,-33.4226837158203,356.558166503906,321.177947998047,1.89266610145569,-2.71478796005249,-190.575836181641,45.8665390014648,0,0,-67.9598236083984,0,0.490586847066879,48.7064666748047,0,-0.023271668702363,-33.2437591552734,341.037963867188,0.291698932647705,0.32494169473648,0.899624705314636,17.9650344848633,23.7499809265137,-3.18621349334717,-190.247192382812,0,0.99972915649414,358.66650390625,0,-3.3668532371521,-119.942352294922,0,0.871392309665679,29.3791618347168,0,-1.8949511051178,-143.308441162109,0,1,0,0,-4.68255615234375,-122.198310852051,0,"TaskBuilding_4","TaskBuilding_4",3,-358.66650390625,104.596946716309,108.224411010742,3.85818767547607,"[{'x': 0.291698932647705, 'y': 0.32494169473648005, 'z': 0.8996247053146361}]","Belt","GHP",31.2611034320157,-31.2611034320157
"340",343,1100,8,2,"False","False","2021-12-14 14:02:01.811985016","2021-12-14 14:02:26.389296293",24.5773112773895,2,0,-33.2965240478516,358.506103515625,38.5436172485352,0.717005014419555,-2.71523785591125,-190.562561035156,-52.6894454956055,0.000016004989447,-0.653304815292358,48.7064666748047,0,-0.023271668702363,-68.2017364501953,0,-0.729559540748596,-33.7174224853516,347.329406738281,-0.790904641151428,0.2193453758955,0.571277141571044,305.840911865234,36.5359230041504,-3.20067143440247,-190.39404296875,0,-0.683917522430419,226.849472045898,0,-0.964407682418823,-96.1647338867188,0,0.99972915649414,358.66650390625,0,-3.3668532371521,-119.942352294922,-0.000000279339758435526,-0.757095098495483,220.791229248047,0.000005950808827,-3.52444458007812,-144.380813598633,2,"TaskBuilding_36","TaskBuilding_36",35,-6.05824279785156,50.0160255432129,100.622787475586,50.7146453857422,"[{'x': -0.7909046411514281, 'y': 0.21934537589550002, 'z': 0.571277141571044}]","Belt","GHP",31.3802918062104,-31.3802918062104
